province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Gibraltar,United Kingdom,2021-12-22,36.1408,-5.3536,POINT(-5.3536 36.1408),7954,100,,,,,"Gibraltar, United Kingdom"
Wales,United Kingdom,2021-12-22,52.1307,-3.7837,POINT(-3.7837 52.1307),566995,6525,,,,,"Wales, United Kingdom"
Channel Islands,United Kingdom,2021-12-22,49.3723,-2.3644,POINT(-2.3644 49.3723),22876,112,,,,,"Channel Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-22,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Unknown,United Kingdom,2021-12-21,,,,0,0,,,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-21,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3172,25,,,,,"Turks and Caicos Islands, United Kingdom"
Wales,United Kingdom,2021-12-21,52.1307,-3.7837,POINT(-3.7837 52.1307),562333,6522,,,,,"Wales, United Kingdom"
Scotland,United Kingdom,2021-12-21,56.4907,-4.2026,POINT(-4.2026 56.4907),811927,9790,,,,,"Scotland, United Kingdom"
Montserrat,United Kingdom,2021-12-21,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-12-21,54.2361,-4.5481,POINT(-4.5481 54.2361),13258,67,,,,,"Isle of Man, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-21,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Gibraltar,United Kingdom,2021-12-21,36.1408,-5.3536,POINT(-5.3536 36.1408),7902,100,,,,,"Gibraltar, United Kingdom"
Bermuda,United Kingdom,2021-12-21,32.3078,-64.7505,POINT(-64.7505 32.3078),5917,106,,,,,"Bermuda, United Kingdom"
Channel Islands,United Kingdom,2021-12-21,49.3723,-2.3644,POINT(-2.3644 49.3723),22580,111,,,,,"Channel Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-21,18.4207,-64.64,POINT(-64.64 18.4207),2886,39,,,,,"British Virgin Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-21,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Northern Ireland,United Kingdom,2021-12-21,54.7877,-6.4923,POINT(-6.4923 54.7877),357437,2955,,,,,"Northern Ireland, United Kingdom"
Cayman Islands,United Kingdom,2021-12-21,19.3133,-81.2546,POINT(-81.2546 19.3133),8245,9,,,,,"Cayman Islands, United Kingdom"
Anguilla,United Kingdom,2021-12-21,18.2206,-63.0686,POINT(-63.0686 18.2206),1629,5,,,,,"Anguilla, United Kingdom"
England,United Kingdom,2021-12-21,52.3555,-1.1743,POINT(-1.1743 52.3555),9810446,128166,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-12-20,49.3723,-2.3644,POINT(-2.3644 49.3723),22304,110,,,,,"Channel Islands, United Kingdom"
Wales,United Kingdom,2021-12-20,52.1307,-3.7837,POINT(-3.7837 52.1307),559959,6516,,,,,"Wales, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-20,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Unknown,United Kingdom,2021-12-20,,,,0,0,,,,,"Unknown, United Kingdom"
Anguilla,United Kingdom,2021-12-20,18.2206,-63.0686,POINT(-63.0686 18.2206),1629,5,,,,,"Anguilla, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-20,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-20,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3172,25,,,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-12-20,56.4907,-4.2026,POINT(-4.2026 56.4907),806695,9781,,,,,"Scotland, United Kingdom"
Bermuda,United Kingdom,2021-12-20,32.3078,-64.7505,POINT(-64.7505 32.3078),5917,106,,,,,"Bermuda, United Kingdom"
Montserrat,United Kingdom,2021-12-20,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
