province_state,date,confirmed,deaths,active
Florida,2020-07-14,1267,30,1237
Minnesota,2020-07-14,13790,791,12999
Virginia,2020-07-14,2925,173,2752
Alabama,2020-07-14,161,3,158
Georgia,2020-07-14,1851,34,1817
Illinois,2020-07-14,122,1,121
Indiana,2020-07-14,306,18,288
Iowa,2020-07-14,93,3,90
Kentucky,2020-07-14,45,2,43
Missouri,2020-07-14,27,3,24
Ohio,2020-07-14,38,0,38
Tennessee,2020-07-14,56,0,56
Virginia,2020-07-14,363,5,358
New York,2020-07-14,195,4,191
Florida,2020-07-14,946,10,936
North Carolina,2020-07-14,181,11,170
North Dakota,2020-07-14,1,0,1
Kentucky,2020-07-14,7,0,7
Tennessee,2020-07-14,114,0,114
Missouri,2020-07-14,1,0,1
New Mexico,2020-07-14,75,0,75
Texas,2020-07-14,8040,150,7890
Ohio,2020-07-14,58,1,57
Virginia,2020-07-14,3,0,3
Florida,2020-07-14,590,13,577
Montana,2020-07-14,14,0,14
Texas,2020-07-14,154,2,152
Florida,2020-07-14,20508,189,20319
New Hampshire,2020-07-14,3443,261,3182
Michigan,2020-07-14,211,25,186
Mississippi,2020-07-14,3102,58,3044
Colorado,2020-07-14,3,0,3
Nebraska,2020-07-14,1,0,1
Ohio,2020-07-14,84,8,76
Texas,2020-07-14,109,1,108
Kansas,2020-07-14,10,0,10
North Carolina,2020-07-14,480,5,475
Florida,2020-07-14,234,1,233
Mississippi,2020-07-14,608,42,566
Ohio,2020-07-14,264,5,259
Missouri,2020-07-14,1,0,1
Nebraska,2020-07-14,4,0,4
Hawaii,2020-07-14,960,15,945
Texas,2020-07-14,216,5,211
Oregon,2020-07-14,109,0,109
Nebraska,2020-07-14,2,0,2
Virginia,2020-07-14,210,5,205
Kentucky,2020-07-14,317,33,284
Texas,2020-07-14,88,1,87
South Carolina,2020-07-14,6055,75,5980
Arkansas,2020-07-14,1294,1,1293
Wyoming,2020-07-14,12,0,12
Michigan,2020-07-14,30,0,30
Alabama,2020-07-14,658,7,651
Georgia,2020-07-14,1017,31,986
Minnesota,2020-07-14,32,0,32
Tennessee,2020-07-14,24,0,24
Texas,2020-07-14,188,0,188
Arkansas,2020-07-14,154,1,153
Indiana,2020-07-14,617,58,559
